PLAN,1784658422881,999,AF,V-F,,,,
BLOCK,1784658970249,999,,,0,video,Filter,A
BLOCK,1784659809511,999,,,1,video,NoFilter,B
BLOCK,1784659905893,999,,,2,passthrough,NoFilter,-
PLAN,1784678561273,1001,BF,V-N,,,,
BLOCK,1784681335550,1001,,,0,video,NoFilter,A
BLOCK,1784683505052,1001,,,1,video,Filter,B
BLOCK,1784684143747,1001,,,2,passthrough,Filter,-
BLOCK,1784684149454,1001,,,3,passthrough,NoFilter,-
PLAN,1784684215165,1002,AF,P-F,,,,
BLOCK,1784684231342,1002,,,0,passthrough,Filter,-
BLOCK,1784684258786,1002,,,1,passthrough,NoFilter,-
BLOCK,1784684789451,1002,,,2,video,NoFilter,B
BLOCK,1784684789453,1002,,,2,video,NoFilter,B
BLOCK,1784686183413,1002,,,3,video,Filter,A
BLOCK,1784686183416,1002,,,3,video,Filter,A
BLOCK,1784691530820,1003,,,0,video,Filter,B
BLOCK,1784728501337,1003,,,0,video,NoFilter,A
BLOCK,1784729095534,1003,,,0,video,Filter,A
PLAN,1784733071970,1,BF,V-N,,,,
BLOCK,1784733652559,1,,,0,video,NoFilter,A
BLOCK,1784734206967,1,,,1,video,Filter,B
BLOCK,1784734295889,1,,,2,passthrough,Filter,-
BLOCK,1784734442458,1,,,3,passthrough,NoFilter,-
PLAN,1784735790213,2,AF,P-F,,,,
BLOCK,1784736228110,2,,,0,passthrough,Filter,-
BLOCK,1784736628012,2,,,1,passthrough,NoFilter,-
BLOCK,1784737172930,2,,,2,video,NoFilter,B
BLOCK,1784738074060,2,,,3,video,Filter,A
PLAN,1784738420068,3,BF,P-N,,,,
BLOCK,1784738786234,3,,,0,passthrough,NoFilter,-
BLOCK,1784739496999,3,,,1,passthrough,Filter,-
BLOCK,1784740120328,3,,,2,video,Filter,B
BLOCK,1784740723942,3,,,3,video,NoFilter,A
PLAN,1784741509359,33,AF,V-N,,,,
BLOCK,1784742130267,33,,,0,video,NoFilter,B
BLOCK,1784742685125,33,,,1,video,Filter,A
BLOCK,1784743152534,33,,,2,passthrough,Filter,-
PLAN,1784745759416,4,AF,V-F,,,,
BLOCK,1784746610919,4,,,0,video,Filter,A
BLOCK,1784747334981,4,,,1,video,NoFilter,B
BLOCK,1784747776929,4,,,2,passthrough,NoFilter,-
BLOCK,1784747861943,4,,,3,passthrough,Filter,-
PLAN,1784813907136,6,BF,P-F,,,,
BLOCK,1784814552874,6,,,0,passthrough,Filter,-
BLOCK,1784823282977,66,,,0,video,NoFilter,A
BLOCK,1784824200856,66,,,0,video,Filter,B
PLAN,1784825626036,8,AF,P-N,,,,
BLOCK,1784825660321,8,,,0,passthrough,NoFilter,-
PLAN,1784825708323,9,BF,V-F,,,,
BLOCK,1784826284903,9,,,0,video,Filter,B
BLOCK,1784826852427,9,,,1,video,NoFilter,A
BLOCK,1784827278307,9,,,2,passthrough,NoFilter,-
PLAN,1784828585526,10,AF,P-F,,,,
BLOCK,1784829493661,10,,,0,passthrough,Filter,-
BLOCK,1784829847316,10,,,1,passthrough,NoFilter,-
BLOCK,1784830465117,10,,,2,video,NoFilter,B
BLOCK,1784831048849,10,,,3,video,Filter,A
